t,delta,force,overlap,vel
1.98e-09,6.76437999999999e-07,0,-4.14379999999991e-08,-11.9
2e-09,6.76199999999999e-07,0,-4.11999999999991e-08,-11.9
2.02e-09,6.75961999999999e-07,0,-4.09619999999991e-08,-11.9
2.04e-09,6.75723999999999e-07,0,-4.07239999999991e-08,-11.9
2.06e-09,6.75485999999999e-07,0,-4.04859999999991e-08,-11.9
2.08e-09,6.75247999999999e-07,0,-4.02479999999991e-08,-11.9
2.1e-09,6.75009999999999e-07,0,-4.0009999999999e-08,-11.9
2.12e-09,6.74771999999999e-07,0,-3.9771999999999e-08,-11.9
2.14e-09,6.74533999999999e-07,0,-3.9533999999999e-08,-11.9
2.16e-09,6.74295999999999e-07,0,-3.9295999999999e-08,-11.9
2.18e-09,6.74057999999999e-07,0,-3.9057999999999e-08,-11.9
2.2e-09,6.73819999999999e-07,0,-3.8819999999999e-08,-11.9
2.22e-09,6.73581999999999e-07,0,-3.8581999999999e-08,-11.9
2.24e-09,6.73343999999999e-07,0,-3.8343999999999e-08,-11.9
2.26e-09,6.73105999999999e-07,0,-3.8105999999999e-08,-11.9
2.28e-09,6.72867999999999e-07,0,-3.7867999999999e-08,-11.9
2.3e-09,6.72629999999999e-07,0,-3.7629999999999e-08,-11.9
2.32e-09,6.72391999999999e-07,0,-3.73919999999991e-08,-11.9
2.34e-09,6.72153999999999e-07,0,-3.71539999999991e-08,-11.9
2.36e-09,6.71915999999999e-07,0,-3.69159999999991e-08,-11.9
2.38e-09,6.71677999999999e-07,0,-3.66779999999991e-08,-11.9
2.4e-09,6.71439999999999e-07,0,-3.64399999999991e-08,-11.9
2.42e-09,6.71201999999999e-07,0,-3.62019999999991e-08,-11.9
2.44e-09,6.70963999999999e-07,0,-3.59639999999991e-08,-11.9
2.46e-09,6.70725999999999e-07,0,-3.57259999999991e-08,-11.9
2.48e-09,6.70487999999999e-07,0,-3.54879999999991e-08,-11.9
2.5e-09,6.70249999999999e-07,0,-3.5249999999999e-08,-11.9
2.52e-09,6.70011999999999e-07,0,-3.5011999999999e-08,-11.9
2.54e-09,6.69773999999999e-07,0,-3.4773999999999e-08,-11.9
2.56e-09,6.69535999999999e-07,0,-3.4535999999999e-08,-11.9
2.58e-09,6.69297999999999e-07,0,-3.4297999999999e-08,-11.9
2.6e-09,6.69059999999999e-07,0,-3.4059999999999e-08,-11.9
2.62e-09,6.68821999999999e-07,0,-3.3821999999999e-08,-11.9
2.64e-09,6.68583999999999e-07,0,-3.3583999999999e-08,-11.9
2.66e-09,6.68345999999999e-07,0,-3.3345999999999e-08,-11.9
2.68e-09,6.68107999999999e-07,0,-3.3107999999999e-08,-11.9
2.7e-09,6.67869999999999e-07,0,-3.2869999999999e-08,-11.9
2.72e-09,6.67631999999999e-07,0,-3.26319999999991e-08,-11.9
2.74e-09,6.67393999999999e-07,0,-3.23939999999991e-08,-11.9
2.76e-09,6.67155999999999e-07,0,-3.21559999999991e-08,-11.9
2.78e-09,6.66917999999999e-07,0,-3.19179999999991e-08,-11.9
2.8e-09,6.66679999999999e-07,0,-3.16799999999991e-08,-11.9
2.82e-09,6.66441999999999e-07,0,-3.14419999999991e-08,-11.9
2.84e-09,6.66203999999999e-07,0,-3.12039999999991e-08,-11.9
2.86e-09,6.65965999999999e-07,0,-3.09659999999991e-08,-11.9
2.88e-09,6.65727999999999e-07,0,-3.07279999999991e-08,-11.9
2.9e-09,6.65489999999999e-07,0,-3.04899999999991e-08,-11.9
2.92e-09,6.65251999999999e-07,0,-3.0251999999999e-08,-11.9
2.94e-09,6.65013999999999e-07,0,-3.0013999999999e-08,-11.9
2.96e-09,6.64775999999999e-07,0,-2.9775999999999e-08,-11.9
2.98e-09,6.64537999999999e-07,0,-2.9537999999999e-08,-11.9
3e-09,6.64299999999999e-07,0,-2.9299999999999e-08,-11.9
3.02e-09,6.64061999999999e-07,0,-2.9061999999999e-08,-11.9
3.04e-09,6.63823999999999e-07,0,-2.8823999999999e-08,-11.9
3.06e-09,6.63585999999999e-07,0,-2.8585999999999e-08,-11.9
3.08e-09,6.63347999999999e-07,0,-2.8347999999999e-08,-11.9
3.1e-09,6.63109999999999e-07,0,-2.8109999999999e-08,-11.9
3.12e-09,6.62871999999999e-07,0,-2.7871999999999e-08,-11.9
3.14e-09,6.62633999999999e-07,0,-2.76339999999991e-08,-11.9
3.16e-09,6.62395999999999e-07,0,-2.73959999999991e-08,-11.9
3.18e-09,6.62157999999999e-07,0,-2.71579999999991e-08,-11.9
3.2e-09,6.61919999999999e-07,0,-2.69199999999991e-08,-11.9
3.22e-09,6.61681999999999e-07,0,-2.66819999999991e-08,-11.9
3.24e-09,6.61443999999999e-07,0,-2.64439999999991e-08,-11.9
3.26e-09,6.61205999999999e-07,0,-2.62059999999991e-08,-11.9
3.28e-09,6.60967999999999e-07,0,-2.59679999999991e-08,-11.9
3.3e-09,6.60729999999999e-07,0,-2.57299999999991e-08,-11.9
3.32e-09,6.60491999999999e-07,0,-2.5491999999999e-08,-11.9
3.34e-09,6.60253999999999e-07,0,-2.5253999999999e-08,-11.9
3.36e-09,6.60015999999999e-07,0,-2.5015999999999e-08,-11.9
3.38e-09,6.59777999999999e-07,0,-2.4777999999999e-08,-11.9
3.4e-09,6.59539999999999e-07,0,-2.4539999999999e-08,-11.9
3.42e-09,6.59301999999999e-07,0,-2.4301999999999e-08,-11.9
3.44e-09,6.59063999999999e-07,0,-2.4063999999999e-08,-11.9
3.46e-09,6.58825999999999e-07,0,-2.3825999999999e-08,-11.9
3.48e-09,6.58587999999999e-07,0,-2.3587999999999e-08,-11.9
3.5e-09,6.58349999999999e-07,0,-2.3349999999999e-08,-11.9
3.52e-09,6.58111999999999e-07,0,-2.3111999999999e-08,-11.9
3.54e-09,6.57873999999999e-07,0,-2.28739999999991e-08,-11.9
3.56e-09,6.57635999999999e-07,0,-2.26359999999991e-08,-11.9
3.58e-09,6.57397999999999e-07,0,-2.23979999999991e-08,-11.9
3.6e-09,6.57159999999999e-07,0,-2.21599999999991e-08,-11.9
3.62e-09,6.56921999999999e-07,0,-2.19219999999991e-08,-11.9
3.64e-09,6.56683999999999e-07,0,-2.16839999999991e-08,-11.9
3.66e-09,6.56445999999999e-07,0,-2.14459999999991e-08,-11.9
3.68e-09,6.56207999999999e-07,0,-2.12079999999991e-08,-11.9
3.7e-09,6.55969999999999e-07,0,-2.09699999999991e-08,-11.9
3.72e-09,6.55731999999999e-07,0,-2.07319999999991e-08,-11.9
3.74e-09,6.55493999999999e-07,0,-2.0493999999999e-08,-11.9
3.76e-09,6.55255999999999e-07,0,-2.0255999999999e-08,-11.9
3.78e-09,6.55017999999999e-07,0,-2.0017999999999e-08,-11.9
3.8e-09,6.54779999999999e-07,0,-1.9779999999999e-08,-11.9
3.82e-09,6.54541999999999e-07,0,-1.9541999999999e-08,-11.9
3.84e-09,6.54303999999999e-07,0,-1.9303999999999e-08,-11.9
3.86e-09,6.54065999999999e-07,0,-1.9065999999999e-08,-11.9
3.88e-09,6.53827999999999e-07,0,-1.8827999999999e-08,-11.9
