t,delta,force,overlap,vel
1.64e-09,6.96719999999996e-07,0,-6.17199999999961e-08,-2
1.66e-09,6.96679999999996e-07,0,-6.1679999999996e-08,-2
1.68e-09,6.96639999999996e-07,0,-6.16399999999961e-08,-2
1.7e-09,6.96599999999996e-07,0,-6.15999999999961e-08,-2
1.72e-09,6.96559999999996e-07,0,-6.1559999999996e-08,-2
1.74e-09,6.96519999999996e-07,0,-6.15199999999961e-08,-2
1.76e-09,6.96479999999996e-07,0,-6.1479999999996e-08,-2
1.78e-09,6.96439999999996e-07,0,-6.14399999999961e-08,-2
1.8e-09,6.96399999999996e-07,0,-6.1399999999996e-08,-2
1.82e-09,6.96359999999996e-07,0,-6.13599999999961e-08,-2
1.84e-09,6.96319999999996e-07,0,-6.13199999999961e-08,-2
1.86e-09,6.96279999999996e-07,0,-6.1279999999996e-08,-2
1.88e-09,6.96239999999996e-07,0,-6.12399999999961e-08,-2
1.9e-09,6.96199999999996e-07,0,-6.1199999999996e-08,-2
1.92e-09,6.96159999999996e-07,0,-6.11599999999961e-08,-2
1.94e-09,6.96119999999996e-07,0,-6.1119999999996e-08,-2
1.96e-09,6.96079999999996e-07,0,-6.10799999999961e-08,-2
1.98e-09,6.96039999999995e-07,0,-6.1039999999995e-08,-2
2e-09,6.95999999999995e-07,0,-6.09999999999951e-08,-2
2.02e-09,6.95959999999995e-07,0,-6.0959999999995e-08,-2
2.04e-09,6.95919999999995e-07,0,-6.09199999999951e-08,-2
2.06e-09,6.95879999999995e-07,0,-6.0879999999995e-08,-2
2.08e-09,6.95839999999995e-07,0,-6.08399999999951e-08,-2
2.1e-09,6.95799999999995e-07,0,-6.0799999999995e-08,-2
2.12e-09,6.95759999999995e-07,0,-6.0759999999995e-08,-2
2.14e-09,6.95719999999995e-07,0,-6.07199999999951e-08,-2
2.16e-09,6.95679999999995e-07,0,-6.0679999999995e-08,-2
2.18e-09,6.95639999999995e-07,0,-6.06399999999951e-08,-2
2.2e-09,6.95599999999995e-07,0,-6.0599999999995e-08,-2
2.22e-09,6.95559999999995e-07,0,-6.05599999999951e-08,-2
2.24e-09,6.95519999999995e-07,0,-6.0519999999995e-08,-2
2.26e-09,6.95479999999995e-07,0,-6.0479999999995e-08,-2
2.28e-09,6.95439999999995e-07,0,-6.04399999999951e-08,-2
2.3e-09,6.95399999999995e-07,0,-6.0399999999995e-08,-2
2.32e-09,6.95359999999995e-07,0,-6.03599999999951e-08,-2
