t,delta,force,overlap,vel
2.972e-08,6.40559999999933e-07,0,-5.55999999993304e-09,-2
2.974e-08,6.40519999999933e-07,0,-5.5199999999331e-09,-2
2.976e-08,6.40479999999932e-07,0,-5.47999999993199e-09,-2
2.978e-08,6.40439999999932e-07,0,-5.43999999993205e-09,-2
2.98e-08,6.40399999999932e-07,0,-5.39999999993201e-09,-2
2.982e-08,6.40359999999932e-07,0,-5.35999999993207e-09,-2
2.984e-08,6.40319999999932e-07,0,-5.31999999993202e-09,-2
2.986e-08,6.40279999999932e-07,0,-5.27999999993208e-09,-2
2.988e-08,6.40239999999932e-07,0,-5.23999999993204e-09,-2
2.99e-08,6.40199999999932e-07,0,-5.19999999993199e-09,-2
2.992e-08,6.40159999999932e-07,0,-5.15999999993205e-09,-2
2.994e-08,6.40119999999932e-07,0,-5.11999999993201e-09,-2
2.996e-08,6.40079999999932e-07,0,-5.07999999993207e-09,-2
2.998e-08,6.40039999999932e-07,0,-5.03999999993202e-09,-2
3e-08,6.39999999999932e-07,0,-4.99999999993208e-09,-2
3.002e-08,6.39959999999932e-07,0,-4.95999999993204e-09,-2
3.004e-08,6.39919999999932e-07,0,-4.91999999993199e-09,-2
3.006e-08,6.39879999999932e-07,0,-4.87999999993205e-09,-2
3.008e-08,6.39839999999932e-07,0,-4.83999999993201e-09,-2
3.01e-08,6.39799999999932e-07,0,-4.79999999993207e-09,-2
3.012e-08,6.39759999999932e-07,0,-4.75999999993202e-09,-2
3.014e-08,6.39719999999932e-07,0,-4.71999999993208e-09,-2
3.016e-08,6.39679999999932e-07,0,-4.67999999993204e-09,-2
3.018e-08,6.39639999999932e-07,0,-4.63999999993199e-09,-2
3.02e-08,6.39599999999931e-07,0,-4.59999999993099e-09,-2
3.022e-08,6.39559999999931e-07,0,-4.55999999993106e-09,-2
3.024e-08,6.39519999999931e-07,0,-4.51999999993101e-09,-2
3.026e-08,6.39479999999931e-07,0,-4.47999999993107e-09,-2
