TIMESTEP CONTACTS
120102	26781
2.03248e-06 7.17231e-07 2.0139e-07 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
-9.54077e-07 -7.82029e-07 9.01994e-08 
0 0 0 
0 0 0 
6.88565e-07 1.4428e-06 -2.00788e-06 
-3.60403e-07 -1.18436e-06 -1.67884e-06 
9.75848e-06 -1.16687e-05 8.1352e-07 
-2.23109e-07 -2.43066e-08 -1.97952e-07 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
1.24998e-05 -1.00188e-05 -1.69638e-06 
-3.68794e-06 -2.43232e-06 -1.16662e-07 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
9.78587e-08 2.4145e-07 -2.27589e-07 
0 0 0 
0 0 0 
2.72741e-07 -8.76697e-08 -1.33765e-07 
8.55516e-07 -4.5823e-06 -1.41349e-06 
5.75475e-08 -2.16504e-07 -1.24539e-06 
-1.63778e-06 4.42142e-08 -7.96152e-07 
0 0 0 
9.57008e-06 -1.46121e-05 -2.70497e-08 
-4.30208e-06 -3.22664e-06 -2.21287e-06 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
1.63674e-05 -9.60832e-06 2.27983e-08 
0 0 0 
-6.7167e-06 -4.7689e-06 -1.84475e-07 
0 0 0 
0 0 0 
0 0 0 
3.24502e-06 -8.03738e-07 -1.47723e-06 
0 0 0 
-6.12246e-06 -7.76649e-06 4.18002e-06 
0 0 0 
-3.42302e-06 3.8613e-06 -2.94722e-06 
1.90405e-06 1.3581e-06 -2.10975e-06 
9.01817e-08 1.22688e-07 2.39443e-07 
0 0 0 
0 0 0 
2.80731e-06 -6.9799e-06 3.29938e-08 
0 0 0 
0 0 0 
0 0 0 
-3.59938e-06 -4.06526e-06 -7.99485e-06 
-8.1975e-06 1.95169e-07 1.23285e-07 
8.082e-07 -2.23012e-06 8.17596e-08 
-9.01112e-06 -1.13559e-05 -6.29426e-06 
-3.61087e-07 8.72684e-07 -1.40604e-06 
0 0 0 
0 0 0 
-3.0084e-06 5.18495e-06 2.26178e-09 
-4.51823e-06 -7.90432e-08 1.04286e-07 
1.70625e-06 -2.92036e-06 -1.71337e-06 
-1.59508e-06 -3.4452e-06 1.72573e-08 
0 0 0 
-6.88952e-07 1.47494e-06 -3.14513e-06 
0 0 0 
1.34213e-06 2.58695e-06 -2.49663e-08 
0 0 0 
0 0 0 
1.25341e-07 -1.68361e-07 3.4726e-07 
0 0 0 
0 0 0 
-3.59595e-06 2.64353e-06 -3.2513e-07 
2.77301e-07 -4.09553e-07 -1.21108e-08 
0 0 0 
1.70941e-07 2.42593e-07 2.82013e-07 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
-4.03641e-06 -1.65816e-06 3.24018e-07 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
3.31594e-08 -1.16024e-08 -5.06902e-08 
-2.21209e-06 -5.32046e-07 -3.17538e-06 
-3.4335e-06 2.31229e-06 -3.91766e-06 
0 0 0 
1.98291e-06 9.74093e-07 2.98886e-08 
5.13065e-07 -6.29366e-07 -6.26068e-08 
-1.64692e-06 -4.37709e-06 -5.73383e-06 
0 0 0 
-1.55317e-06 -8.29436e-07 3.69281e-06 
-5.79987e-06 9.34894e-09 4.85211e-06 
0 0 0 
0 0 0 
0 0 0 
5.13982e-06 5.24088e-06 -8.11751e-06 
0 0 0 
0 0 0 
0 0 0 
-3.24945e-06 -2.86872e-06 -1.2348e-06 
4.61817e-07 -1.38638e-07 7.62355e-07 
0 0 0 
0 0 0 
1.62324e-06 -2.94687e-06 -9.17945e-08 
-8.64252e-06 -1.72475e-08 -1.76043e-07 
-6.34365e-08 -1.08622e-07 -8.91456e-09 
0 0 0 
0 0 0 
-4.40864e-07 1.98703e-07 -8.8728e-07 
-2.78097e-06 9.06235e-08 -5.33332e-08 
0 0 0 
2.63198e-06 -4.99708e-07 -2.90686e-06 
2.4264e-06 -4.19191e-06 -5.17412e-07 
1.44026e-06 2.56348e-06 -3.82662e-08 
-8.78957e-08 4.89189e-08 -1.91345e-07 
0 0 0 
2.93131e-06 -5.30967e-06 1.57686e-07 
-1.65271e-05 -8.33765e-07 -6.67017e-07 
0 0 0 
1.02169e-06 3.09123e-07 -1.65384e-06 
8.72255e-07 3.35227e-07 1.71063e-06 
0 0 0 
-7.07491e-06 -5.24652e-07 1.45432e-07 
4.86616e-06 -8.80942e-06 1.05552e-07 
2.19368e-06 3.9952e-06 -9.96438e-08 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
4.00952e-08 1.04965e-08 8.22325e-08 
0 0 0 
-2.42987e-07 -1.16295e-06 -1.11071e-06 
3.68717e-06 -6.91844e-06 6.4249e-07 
-7.04355e-06 -4.512e-06 4.81161e-07 
0 0 0 
-4.16754e-07 1.74258e-06 -2.27534e-06 
0 0 0 
0 0 0 
2.57558e-06 -7.86359e-07 2.85429e-06 
-5.78892e-06 1.43522e-06 6.69079e-06 
0 0 0 
0 0 0 
0 0 0 
3.15756e-06 2.60554e-06 -9.95222e-07 
0 0 0 
0 0 0 
-3.41771e-06 1.27438e-07 -2.45374e-06 
0 0 0 
0 0 0 
4.03643e-06 -2.78332e-06 -6.38281e-06 
-7.96922e-07 -1.76274e-06 -7.3199e-07 
0 0 0 
0 0 0 
3.48792e-06 -5.42598e-06 5.0829e-08 
-4.31497e-06 -2.83056e-06 -3.23314e-07 
0 0 0 
0 0 0 
0 0 0 
1.32876e-05 -1.1579e-05 9.50195e-08 
-6.81916e-07 -4.79017e-07 -3.32503e-07 
0 0 0 
0 0 0 
0 0 0 
8.01895e-08 5.07431e-09 -1.18394e-07 
0 0 0 
5.68259e-06 -1.06976e-05 -8.84764e-07 
0 0 0 
-5.1975e-06 -3.96493e-06 -4.52828e-06 
0 0 0 
0 0 0 
0 0 0 
-2.86106e-06 1.48686e-06 9.5626e-07 
0 0 0 
8.95733e-07 -5.6742e-06 2.06553e-06 
-7.07227e-07 -5.09383e-07 3.15506e-07 
1.76086e-06 4.2734e-06 -3.05904e-06 
0 0 0 
2.22044e-07 -6.31139e-08 -4.92618e-07 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
-7.37261e-06 8.70285e-07 1.95552e-07 
0 0 0 
2.02585e-08 -1.63765e-07 1.54875e-10 
0 0 0 
5.02613e-07 5.89079e-07 -2.29083e-06 
-2.74129e-06 -4.58364e-06 -5.76292e-06 
1.81406e-06 -1.28572e-05 4.52189e-07 
-1.14038e-05 9.27605e-07 -1.91818e-07 
0 0 0 
0 0 0 
0 0 0 
-1.10221e-06 -1.94803e-06 -3.31694e-06 
-3.52555e-06 7.4699e-07 -5.35119e-09 
2.44557e-06 -1.47631e-05 -4.60745e-07 
-3.46937e-07 -1.69932e-07 -2.15153e-08 
3.23698e-06 1.32755e-06 -5.03337e-06 
0 0 0 
0 0 0 
-2.81869e-06 -5.0851e-06 1.87417e-07 
0 0 0 
2.25361e-07 3.35704e-07 -6.03934e-07 
0 0 0 
1.02972e-07 1.77859e-07 3.27568e-07 
4.46339e-07 -3.72314e-07 -2.49451e-08 
-1.64465e-06 -5.20842e-06 -1.34912e-07 
-9.11605e-08 -1.76891e-07 4.36151e-07 
0 0 0 
0 0 0 
-3.78955e-06 -3.57265e-06 -6.84927e-08 
0 0 0 
0 0 0 
0 0 0 
2.56782e-06 -8.53093e-06 4.64725e-06 
-1.0542e-05 -1.48897e-06 5.35253e-06 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
3.16148e-06 1.16769e-06 -2.05775e-06 
0 0 0 
2.00047e-06 -6.47155e-06 -1.30413e-05 
-4.4637e-06 1.07618e-06 -2.87292e-06 
0 0 0 
0 0 0 
0 0 0 
5.29286e-08 -2.14501e-08 -9.93559e-09 
-8.50685e-07 -1.23104e-05 -6.17527e-08 
-6.57961e-07 -3.47628e-07 -2.99271e-08 
0 0 0 
0 0 0 
0 0 0 
2.35067e-07 5.90739e-07 1.12248e-06 
-1.18157e-05 -4.98714e-06 -1.94411e-07 
0 0 0 
-3.81302e-08 -4.85629e-07 -5.12485e-07 
0 0 0 
7.01626e-09 7.06558e-08 -2.56022e-07 
8.95366e-09 1.70815e-07 -1.8475e-07 
0 0 0 
9.85083e-07 -8.47179e-07 3.50414e-08 
0 0 0 
-1.41837e-07 1.78436e-06 3.3059e-08 
-1.25767e-05 -6.04877e-06 2.65215e-07 
0 0 0 
-4.03827e-08 -1.36621e-07 -2.18599e-07 
0 0 0 
-1.82139e-06 5.75278e-08 1.62722e-06 
3.23657e-08 8.00456e-07 -1.54817e-07 
0 0 0 
0 0 0 
0 0 0 
1.72851e-06 2.65197e-08 -5.35107e-07 
2.63056e-07 -5.42241e-07 -7.6337e-07 
0 0 0 
0 0 0 
0 0 0 
2.88576e-06 -3.9668e-06 6.04769e-06 
0 0 0 
0 0 0 
0 0 0 
4.67936e-07 2.9561e-06 -6.25862e-07 
