TIMESTEP CONTACTS
120102	26781
0 0 0 
0 0 0 
0 0 0 
0 0 0 
2.05288e-08 -2.40769e-08 2.84955e-08 
0 0 0 
0 0 0 
6.22991e-09 -3.2602e-08 -2.20819e-08 
-7.05567e-09 3.65782e-08 -2.5504e-08 
-2.67372e-07 -2.28767e-07 8.75444e-08 
9.3756e-09 -6.0885e-10 -1.16204e-08 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
1.47043e-07 1.91802e-07 -8.83115e-08 
4.41499e-08 -6.97428e-08 1.09642e-11 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
9.13634e-09 -3.68534e-09 -4.0853e-10 
0 0 0 
0 0 0 
-6.23119e-09 -5.71078e-09 -1.02875e-08 
4.32927e-08 5.12217e-08 -1.61479e-07 
-3.6189e-08 1.68207e-09 -3.02588e-09 
2.483e-08 4.34081e-08 -5.57064e-08 
0 0 0 
2.61848e-07 1.64638e-07 5.50927e-08 
-3.68683e-08 1.65898e-10 6.86881e-08 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
-9.05574e-08 -1.58162e-07 -5.48753e-08 
0 0 0 
-8.09154e-08 1.10901e-07 -2.68755e-08 
0 0 0 
0 0 0 
0 0 0 
-3.77458e-08 2.74363e-08 -1.07079e-07 
0 0 0 
-1.18e-08 -1.58214e-08 -4.60784e-08 
0 0 0 
5.44887e-09 1.98632e-08 1.94233e-08 
-6.56553e-08 4.06389e-08 -3.65529e-08 
-3.52346e-09 3.16528e-10 1.22337e-09 
0 0 0 
0 0 0 
2.58291e-07 9.22778e-08 -6.13217e-08 
0 0 0 
0 0 0 
0 0 0 
-1.09386e-07 -2.70064e-08 6.09273e-08 
-7.75759e-09 -4.18655e-08 -1.77959e-07 
-1.04329e-07 -4.53277e-08 -3.32781e-08 
-7.6018e-08 -2.06101e-08 1.41833e-07 
-5.9902e-09 6.78505e-08 3.92552e-08 
0 0 0 
0 0 0 
1.53116e-07 9.75968e-08 1.12624e-07 
-4.66055e-09 7.78645e-08 1.59553e-07 
4.70547e-08 9.36169e-09 2.9066e-08 
1.57712e-07 -8.31271e-08 6.44793e-08 
0 0 0 
